threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,experiment
0.01,0.47058823529411764,0.7692307692307693,0.583941605839416,45472,45,12,40,base_features
0.02,0.5797101449275363,0.7692307692307693,0.6611570247933884,45488,29,12,40,base_features
0.03,0.6349206349206349,0.7692307692307693,0.6956521739130435,45494,23,12,40,base_features
0.04,0.6964285714285714,0.75,0.7222222222222222,45500,17,13,39,base_features
0.05,0.7222222222222222,0.75,0.7358490566037735,45502,15,13,39,base_features
0.06,0.75,0.75,0.75,45504,13,13,39,base_features
0.07,0.7959183673469388,0.75,0.7722772277227723,45507,10,13,39,base_features
0.08,0.7959183673469388,0.75,0.7722772277227723,45507,10,13,39,base_features
0.09,0.8125,0.75,0.78,45508,9,13,39,base_features
0.1,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,base_features
0.11,0.8297872340425532,0.75,0.7878787878787878,45509,8,13,39,base_features
0.12,0.8478260869565217,0.75,0.7959183673469388,45510,7,13,39,base_features
0.13,0.8863636363636364,0.75,0.8125,45512,5,13,39,base_features
0.14,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,base_features
0.15,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,base_features
0.16,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,base_features
0.17,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,base_features
0.18,0.9069767441860465,0.75,0.8210526315789474,45513,4,13,39,base_features
0.19,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.2,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.21,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.22,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.23,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.24,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.25,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.26,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.27,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.28,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.29,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.3,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
