feature,feature_value,shap_value,abs_shap
V14,-2.21590888014364,1.8298435,1.8298435
V12,-3.80016769120705,1.3443278,1.3443278
V11,-0.285979886934994,-1.1885382,1.1885382
V10,-0.518420253742239,-1.1412175,1.1412175
V4,5.99392742892569,1.0761744,1.0761744
V7,3.10986823714173,-0.6486775,0.6486775
V18,-1.40126877416582,-0.5598475,0.5598475
V17,-4.28197552503753,0.5518795,0.5518795
V5,-3.23660883753092,-0.5207649,0.5207649
V27,1.17507464539793,-0.5026708,0.5026708
V16,-2.08530545436939,0.4939621,0.4939621
amount_time_interaction,1059.28,-0.48002452,0.48002452
V22,1.18165559226474,0.47191468,0.47191468
Time,149133.0,-0.4540623,0.4540623
amount_roll_std_5,466.763510998886,-0.4161513,0.4161513
V26,0.796389758636528,-0.40135434,0.40135434
amount_ratio_5,4.710842280926614,-0.39161518,0.39161518
V20,-1.51875764244005,0.38035786,0.38035786
V6,2.61549639787543,-0.31980768,0.31980768
V3,-3.98852539974823,0.31424657,0.31424657
V8,-0.375601865831545,0.2836674,0.2836674
V15,0.697778384098233,-0.2690095,0.2690095
Amount,1059.28,0.23895055,0.23895055
V28,0.442739845314515,-0.19104257,0.19104257
V21,-0.10860214596152,-0.18361871,0.18361871
V19,2.12208855423365,0.18058006,0.18058006
amount_ratio_10,6.527081110807349,-0.16802748,0.16802748
amount_roll_median_10,20.5,-0.13464417,0.13464417
V23,0.0453569284898187,-0.13330269,0.13330269
V24,0.220713071402673,-0.10870838,0.10870838
amount_dev_median_10,1038.78,-0.101171754,0.101171754
V9,-2.81423732462824,-0.09042017,0.09042017
amount_roll_mean_10,162.2899999999991,0.08613748,0.08613748
amount_roll_std_10,330.12297213818226,0.073402986,0.073402986
V13,0.449094635444423,-0.07278986,0.07278986
V1,-4.42715181962555,-0.06822384,0.06822384
amount_roll_mean_5,224.85999999999984,-0.06442563,0.06442563
Day,1.0,-0.056392048,0.056392048
Hour,17.0,-0.054619152,0.054619152
time_diff,0.0,-0.047864508,0.047864508
V2,-0.963508050191945,-0.03942315,0.03942315
V25,0.348226106236775,-0.03362144,0.03362144
Log_Amount,6.966288303167791,-0.012481278,0.012481278
log_amount_hour_interaction,118.42690115385244,-0.0035686435,0.0035686435
Amount_Robust,14.494236009222384,0.0,0.0
tx_count_proxy_10,10.0,0.0,0.0
tx_count_proxy_5,5.0,0.0,0.0
