feature,feature_value,shap_value,abs_shap
V8,0.474858318489524,-2.0837176,2.0837176
V12,-3.25970246526323,1.3735871,1.3735871
V4,6.24946176104187,1.2932069,1.2932069
V16,-2.98692008764678,0.67273694,0.67273694
V17,-4.81586301103402,0.6653406,0.6653406
amount_roll_std_5,427.5826063113507,-0.5366811,0.5366811
V5,-3.3609216090486,-0.52057487,0.52057487
V3,-3.8297616763406,0.477937,0.477937
V25,0.538710327489417,-0.4694106,0.4694106
Time,147501.0,-0.46208954,0.46208954
V14,-1.80810297319338,-0.44509503,0.44509503
V15,-0.741877295217489,-0.37475288,0.37475288
V7,1.8584248531717,-0.3595057,0.3595057
V18,-1.27165458831756,-0.3587954,0.3587954
V24,-0.0660963924813517,-0.32110095,0.32110095
Amount,996.27,0.27523652,0.27523652
V27,-0.136243382191672,-0.259706,0.259706
V6,1.14796358238383,-0.20759523,0.20759523
V11,2.11390001406861,0.19800514,0.19800514
V2,-0.408409922870926,-0.16736485,0.16736485
amount_time_interaction,498.135,-0.1638709,0.1638709
V20,2.42567742975765,-0.16322847,0.16322847
V26,0.541325493308062,-0.15287285,0.15287285
amount_ratio_5,3.903756920222889,-0.14124493,0.14124493
V22,0.616382702131439,0.13407528,0.13407528
V10,-1.44537495699985,0.13246302,0.13246302
V21,1.24558218578459,0.12536515,0.12536515
amount_roll_median_10,19.99,-0.11303212,0.11303212
V13,-0.315347339360454,-0.11005129,0.11005129
V28,-0.0098522563228139,-0.08141127,0.08141127
amount_dev_median_10,976.28,-0.079592146,0.079592146
V9,-3.8383988155266,-0.07929084,0.07929084
V1,-1.61187733763361,-0.07849726,0.07849726
amount_ratio_10,5.971481281413853,0.07258838,0.07258838
Hour,16.0,-0.05196592,0.05196592
log_amount_hour_interaction,110.4803447317773,-0.045048825,0.045048825
Day,1.0,-0.040536188,0.040536188
amount_roll_mean_10,166.83799999999906,0.038433302,0.038433302
amount_roll_mean_5,255.208,-0.021751162,0.021751162
time_diff,1.0,-0.015746564,0.015746564
V23,2.2514388799998,0.014794692,0.014794692
V19,1.70168502365985,0.014154916,0.014154916
amount_roll_std_10,304.7443053446846,0.0027836782,0.0027836782
Log_Amount,6.905021545736081,-0.0010303336,0.0010303336
Amount_Robust,13.613777684622372,0.0,0.0
tx_count_proxy_10,10.0,0.0,0.0
tx_count_proxy_5,5.0,0.0,0.0
