feature,feature_value,shap_value,abs_shap
V14,-3.78605774051617,4.3567877,4.3567877
V10,-2.56647143201517,1.3071535,1.3071535
V12,-2.65161775878709,0.87798613,0.87798613
Time,166023.0,-0.76762515,0.76762515
V2,1.82516830198532,-0.69546497,0.69546497
V28,0.475416937627891,-0.6381325,0.6381325
V4,2.00892192389757,0.5878535,0.5878535
V16,-2.15223003548834,0.46033195,0.46033195
V17,-1.86270659954886,0.4552342,0.4552342
V6,-2.07876199115954,-0.27809417,0.27809417
V19,0.561161272947378,-0.2722142,0.2722142
V7,-0.06327757309042,-0.21550222,0.21550222
amount_ratio_5,0.0961538415310655,-0.21176153,0.21176153
log_amount_hour_interaction,24.16947035069841,-0.20104696,0.20104696
V20,0.312074568892671,-0.1913053,0.1913053
V11,0.996049302321868,0.17524137,0.17524137
V3,-2.55719970451357,0.15069589,0.15069589
Amount,2.0,-0.14237696,0.14237696
V26,-0.482978058421424,0.12462895,0.12462895
amount_roll_mean_10,82.29399999999876,-0.12041077,0.12041077
V13,-0.0505402477834183,-0.11856226,0.11856226
V25,-0.636732023952163,-0.11839126,0.11839126
V5,1.22329804564799,-0.11451947,0.11451947
V24,-0.248943786759755,0.11114267,0.11114267
V22,0.675562516174542,0.1066436,0.1066436
V1,-0.49217336185782,0.100168996,0.100168996
V9,-1.76487011261095,-0.098898366,0.098898366
V27,0.629752181882589,-0.092282526,0.092282526
V8,-0.0987833374491391,-0.086362414,0.086362414
amount_ratio_10,0.02430310807224,0.04178722,0.04178722
V15,0.497095748661361,-0.034670632,0.034670632
amount_roll_std_5,41.50749510641275,-0.03279314,0.03279314
time_diff,0.0,-0.029761493,0.029761493
V21,0.504092329495996,0.028227836,0.028227836
Hour,22.0,0.0243073,0.0243073
amount_time_interaction,2.0,-0.021256477,0.021256477
V18,-0.489301593484207,-0.01688267,0.01688267
Log_Amount,1.0986122886681098,0.014195067,0.014195067
Day,1.0,-0.012626089,0.012626089
amount_roll_mean_5,20.799999999999955,0.012245778,0.012245778
amount_roll_median_10,5.550000000000001,-0.01153377,0.01153377
amount_dev_median_10,-3.5500000000000007,-0.011284119,0.011284119
amount_roll_std_10,185.1717469570488,0.0052233962,0.0052233962
V23,-0.124410576629497,-0.0016280673,0.0016280673
Amount_Robust,-0.2794662195207154,0.0,0.0
tx_count_proxy_10,10.0,0.0,0.0
tx_count_proxy_5,5.0,0.0,0.0
