feature,importance
V14,0.38887095
V4,0.063092776
log_amount_hour_interaction,0.036369782
V20,0.03324889
V8,0.02961523
V12,0.027766395
V10,0.023686986
amount_ratio_5,0.019687235
V17,0.018553821
amount_ratio_10,0.018153504
Day,0.01771635
V13,0.016758876
V1,0.016725276
V21,0.01556672
V19,0.015181858
V7,0.015146787
V23,0.013324679
V9,0.012843779
V3,0.0128080705
V15,0.012539107
amount_time_interaction,0.012293296
amount_dev_median_10,0.011842027
time_diff,0.010962654
amount_roll_median_10,0.01039092
Hour,0.009568349
V11,0.009339933
amount_roll_std_10,0.00913864
V27,0.008871298
V16,0.008786725
Log_Amount,0.008770717
amount_roll_mean_5,0.008610499
V5,0.008206883
Time,0.00799338
V28,0.007891003
V22,0.0074856975
V25,0.0073784115
amount_roll_mean_10,0.006225047
V18,0.0061501376
Amount,0.006040949
V6,0.005672808
amount_roll_std_5,0.0053659086
V26,0.005273434
V24,0.005142387
V2,0.0049418155
Amount_Robust,0.0
tx_count_proxy_10,0.0
tx_count_proxy_5,0.0
